run_id,model,variant,seed,n,acc_full,early_auc,early_acc_0,early_acc_20,early_acc_40,early_acc_60,early_acc_80,mistake_coverage,mistake_acc_ctrl,mistake_acc_broken,mistake_sensitivity,para_jaccard,para_consistency,orig_acc,para_acc,gen_tokens,wall_min,src_version
baseline|Qwen3-0.6B,unsloth/Qwen3-0.6B,pre-distill,-1,150,0.3466666666666667,0.6899038461538461,0.18,0.18,0.1933333333333333,0.2133333333333333,0.2866666666666667,0.74,0.3873873873873873,0.036036036036036,0.7927927927927928,0.7714274059834845,0.8066666666666666,0.3,0.2866666666666667,97.30666666666669,8.887253379821777,6
baseline|Qwen3-1.7B,unsloth/Qwen3-1.7B,pre-distill,-1,150,0.72,0.5138888888888888,0.16,0.1466666666666666,0.2266666666666666,0.3266666666666666,0.4933333333333333,0.8533333333333334,0.703125,0.1484375,0.6953125,0.7128450274129693,0.6866666666666666,0.5266666666666666,0.4933333333333333,122.8,17.000737551848093,6
Qwen3-0.6B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_3407,S1,3407,150,0.44,0.7159090909090909,0.12,0.12,0.16,0.3866666666666666,0.4333333333333333,0.8533333333333334,0.4921875,0.03125,0.96875,0.338,0.9866666666666668,0.44,0.44,42.6,3.443535045782725,6
Qwen3-0.6B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S1_42,S1,42,150,0.44,0.7291666666666666,0.14,0.14,0.18,0.3733333333333333,0.44,0.9,0.4666666666666667,0.037037037037037,0.9481481481481482,0.3181111111111111,0.98,0.44,0.44,42.26,3.539625151952108,6
Qwen3-0.6B|S2|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S2_3407,S2,3407,150,0.6133333333333333,0.6114130434782609,0.0933333333333333,0.0933333333333333,0.1533333333333333,0.3733333333333333,0.62,0.9133333333333332,0.6277372262773723,0.0072992700729927,0.9854014598540146,0.674433211769053,0.9933333333333332,0.6133333333333333,0.6133333333333333,99.30666666666669,7.752256000041962,6
Qwen3-0.6B|S2|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S2_42,S2,42,150,0.5866666666666667,0.6093749999999999,0.1133333333333333,0.1133333333333333,0.16,0.34,0.58,0.9466666666666668,0.5915492957746479,0.0140845070422535,0.9859154929577464,0.6796679891804696,0.9933333333333332,0.5866666666666667,0.5866666666666667,99.88,8.36262328227361,6
Qwen3-0.6B|S3|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S3_3407,S3,3407,150,0.58,0.6135057471264368,0.0133333333333333,0.0266666666666666,0.08,0.4733333333333333,0.5666666666666667,0.9533333333333334,0.5524475524475524,0.1258741258741259,0.8111888111888111,0.6778280735885076,0.9866666666666668,0.58,0.58,384.4933333333333,21.23516790866852,6
Qwen3-0.6B|S3|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-0.6B_S3_42,S3,42,150,0.6,0.5847222222222223,0.0266666666666666,0.02,0.0533333333333333,0.4533333333333333,0.5866666666666667,0.92,0.5797101449275363,0.1304347826086956,0.8405797101449275,0.6808348859522825,0.9866666666666668,0.6,0.6,378.58,19.981685547033944,6
Qwen3-1.7B|S1|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S1_3407,S1,3407,150,0.58,0.7887931034482759,0.2933333333333333,0.2933333333333333,0.3133333333333333,0.5,0.58,0.92,0.6086956521739131,0.0,1.0,0.2892275132275132,1.0,0.5866666666666667,0.5866666666666667,41.06666666666667,5.771208135286967,6
Qwen3-1.7B|S1|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S1_42,S1,42,150,0.52,0.8124999999999999,0.2733333333333333,0.2733333333333333,0.3,0.4666666666666667,0.5266666666666666,0.92,0.5434782608695652,0.0072463768115942,1.0,0.3185608465608465,1.0,0.5266666666666666,0.5266666666666666,40.38666666666666,5.740285297234853,6
Qwen3-1.7B|S2|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S2_3407,S2,3407,150,0.78,0.6079059829059827,0.16,0.16,0.2533333333333333,0.44,0.7333333333333333,0.9533333333333334,0.7902097902097902,0.0349650349650349,0.958041958041958,0.6637369878598047,1.0,0.78,0.78,94.54,9.953670497735342,6
Qwen3-1.7B|S2|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S2_42,S2,42,150,0.74,0.5957207207207207,0.1466666666666666,0.1466666666666666,0.22,0.4133333333333333,0.6866666666666666,0.9533333333333334,0.7412587412587412,0.0209790209790209,0.9790209790209792,0.6592651001891835,1.0,0.74,0.74,95.3,10.655073428153992,6
Qwen3-1.7B|S3|3407,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S3_3407,S3,3407,150,0.74,0.5979729729729729,0.02,0.0266666666666666,0.1133333333333333,0.5533333333333333,0.72,0.94,0.6737588652482269,0.1702127659574468,0.7659574468085106,0.6856097488054583,1.0,0.7466666666666667,0.7466666666666667,378.1933333333333,32.614351836840314,6
Qwen3-1.7B|S3|42,/kaggle/input/datasets/radityaadhirajasa/faithfulness-cot/adapters/Qwen3-1.7B_S3_42,S3,42,150,0.7666666666666667,0.5630434782608695,0.02,0.02,0.04666666666666667,0.5266666666666666,0.76,0.96,0.6875,0.1875,0.7569444444444444,0.6831475312649432,0.9933333333333333,0.7666666666666667,0.7666666666666667,375.62,32.596843310197194,6
